Key,Game_Date,Game_Month,Game_Day_of_Week,Team,Opponent,Opponent_Division,Game_Result
205,2017-05-21,May,Sunday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
206,2017-05-23,May,Tuesday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
207,2017-05-24,May,Wednesday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
208,2017-05-25,May,Thursday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
209,2017-05-26,May,Friday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
210,2017-05-27,May,Saturday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
211,2017-05-28,May,Sunday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
212,2017-05-29,May,Monday,Boston Red Sox,Chicago White Sox,American League (AL) Central,0
213,2017-05-30,May,Tuesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
214,2017-05-31,May,Wednesday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
215,2017-06-01,June,Thursday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
216,2017-06-02,June,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
217,2017-06-03,June,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
218,2017-06-04,June,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,1
219,2017-06-06,June,Tuesday,Boston Red Sox,New York Yankees,American League (AL) East,1
220,2017-06-07,June,Wednesday,Boston Red Sox,New York Yankees,American League (AL) East,0
221,2017-06-08,June,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,0
222,2017-06-09,June,Friday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
223,2017-06-10,June,Saturday,Boston Red Sox,Detroit Tigers,American League (AL) Central,1
224,2017-06-11,June,Sunday,Boston Red Sox,Detroit Tigers,American League (AL) Central,0
225,2017-06-12,June,Monday,Boston Red Sox,Philadelphia Phillies,American League (AL) West,1
226,2017-06-13,June,Tuesday,Boston Red Sox,Philadelphia Phillies,American League (AL) West,1
227,2017-06-14,June,Wednesday,Boston Red Sox,Philadelphia Phillies,American League (AL) West,1
228,2017-06-15,June,Thursday,Boston Red Sox,Philadelphia Phillies,American League (AL) West,0
229,2017-06-16,June,Friday,Boston Red Sox,Houston Astros,American League (AL) Central,1
230,2017-06-17,June,Saturday,Boston Red Sox,Houston Astros,American League (AL) Central,0
231,2017-06-18,June,Sunday,Boston Red Sox,Houston Astros,American League (AL) Central,1
232,2017-06-19,June,Monday,Boston Red Sox,Kansas City Royals,American League (AL) West,0
233,2017-06-20,June,Tuesday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
234,2017-06-21,June,Wednesday,Boston Red Sox,Kansas City Royals,American League (AL) West,0
235,2017-06-23,June,Friday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
236,2017-06-24,June,Saturday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0
237,2017-06-25,June,Sunday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0
238,2017-06-26,June,Monday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
239,2017-06-27,June,Tuesday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
240,2017-06-28,June,Wednesday,Boston Red Sox,Minnesota Twins,American League (AL) Central,0
241,2017-06-29,June,Thursday,Boston Red Sox,Minnesota Twins,American League (AL) Central,1
242,2017-06-30,June,Friday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
243,2017-07-01,July,Saturday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
244,2017-07-02,July,Sunday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
245,2017-07-03,July,Monday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
246,2017-07-04,July,Tuesday,Boston Red Sox,Texas Rangers,American League (AL) Central,1
247,2017-07-05,July,Wednesday,Boston Red Sox,Texas Rangers,American League (AL) Central,0
248,2017-07-06,July,Thursday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
249,2017-07-07,July,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
250,2017-07-08,July,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
251,2017-07-09,July,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
252,2017-07-14,July,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1
253,2017-07-15,July,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0
254,2017-07-16,July,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0
255,2017-07-16,July,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1
256,2017-07-17,July,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
257,2017-07-18,July,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
258,2017-07-19,July,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
259,2017-07-20,July,Thursday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
260,2017-07-21,July,Friday,Boston Red Sox,Los Angeles Angels,American League (AL) West,1
261,2017-07-22,July,Saturday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0
262,2017-07-23,July,Sunday,Boston Red Sox,Los Angeles Angels,American League (AL) West,0
263,2017-07-24,July,Monday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
264,2017-07-25,July,Tuesday,Boston Red Sox,Seattle Mariners,American League (AL) Central,0
265,2017-07-26,July,Wednesday,Boston Red Sox,Seattle Mariners,American League (AL) Central,1
266,2017-07-28,July,Friday,Boston Red Sox,Kansas City Royals,American League (AL) West,0
267,2017-07-29,July,Saturday,Boston Red Sox,Kansas City Royals,American League (AL) West,1
268,2017-07-30,July,Sunday,Boston Red Sox,Kansas City Royals,American League (AL) West,0
269,2017-07-31,July,Monday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
270,2017-08-01,August,Tuesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
271,2017-08-03,August,Thursday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
272,2017-08-04,August,Friday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
273,2017-08-05,August,Saturday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
274,2017-08-06,August,Sunday,Boston Red Sox,Chicago White Sox,American League (AL) Central,1
275,2017-08-08,August,Tuesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
276,2017-08-09,August,Wednesday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
277,2017-08-11,August,Friday,Boston Red Sox,New York Yankees,American League (AL) East,0
278,2017-08-12,August,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,1
279,2017-08-13,August,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1
280,2017-08-14,August,Monday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
281,2017-08-15,August,Tuesday,Boston Red Sox,St. Louis Cardinals,National League (NL) Central,1
282,2017-08-16,August,Wednesday,Boston Red Sox,St. Louis Cardinals,National League (NL) Central,1
283,2017-08-18,August,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1
284,2017-08-19,August,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0
285,2017-08-20,August,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,1
286,2017-08-21,August,Monday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
287,2017-08-22,August,Tuesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
288,2017-08-23,August,Wednesday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,1
289,2017-08-24,August,Thursday,Boston Red Sox,Cleveland Guardians (Indians),American League (AL) Central,0
290,2017-08-25,August,Friday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
291,2017-08-26,August,Saturday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
292,2017-08-27,August,Sunday,Boston Red Sox,Baltimore Orioles,American League (AL) East,0
293,2017-08-28,August,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
294,2017-08-29,August,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
295,2017-08-30,August,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
296,2017-08-31,August,Thursday,Boston Red Sox,New York Yankees,American League (AL) East,0
297,2017-09-01,September,Friday,Boston Red Sox,New York Yankees,American League (AL) East,1
298,2017-09-02,September,Saturday,Boston Red Sox,New York Yankees,American League (AL) East,0
299,2017-09-03,September,Sunday,Boston Red Sox,New York Yankees,American League (AL) East,0
300,2017-09-04,September,Monday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,0
301,2017-09-05,September,Tuesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
302,2017-09-06,September,Wednesday,Boston Red Sox,Toronto Blue Jays,American League (AL) East,1
303,2017-09-08,September,Friday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
304,2017-09-09,September,Saturday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,1
305,2017-09-10,September,Sunday,Boston Red Sox,Tampa Bay Rays,American League (AL) East,0
306,2017-09-12,September,Tuesday,Boston Red Sox,Oakland Athletics,American League (AL) West,1
